Year,GMSL
2016.871585,7.864781
2016.89071,7.827215
2016.909836,7.776992
2016.928962,7.761991
2016.948087,7.670733
2016.967213,7.557514
2016.986339,7.440909
2017.00548,7.21309
2017.024658,7.093842
2017.043836,6.992092
2017.063014,6.903811
2017.082192,6.880675
2017.10137,6.837442
2017.120548,6.797188
2017.139726,6.748775
2017.158904,6.727815
2017.178082,6.722981
2017.19726,6.72238
2017.216438,6.719305
2017.235616,6.705898
2017.254795,6.680996
2017.273973,6.647378
2017.293151,6.598232
2017.312329,6.550993
2017.331507,6.492106
2017.350685,6.448008
2017.369863,6.413739
2017.389041,6.407196
2017.408219,6.40825
